label:number,type:text,uri:url,change:text,changedItem:text,modified:text,Depth_cm:number,Wet_total_g:number,Dry_total_g:number,Tare_g:number,Wet_soil_g:number,Dry_soil_g:number,Soil_water_w_%:number,Bulk_density:number,Soil_water_v_%:number,date:text,Tin_Label:text,Location:text,Volumetric:text
1,Item,http://cosmos.hwr.arizona.edu/Probes/StationDat/011/item#1,,,no,0-5 cm,114.93,112.14,30.79,84.14,81.35,3.43,,4.8,10/10/2010,25,NE35,---
2,Item,http://cosmos.hwr.arizona.edu/Probes/StationDat/011/item#2,,,no,5-10 cm,169.46,164.53,31.08,138.38,133.45,3.69,1.47,5.43,10/10/2010,26,NE35,Vol.
3,Item,http://cosmos.hwr.arizona.edu/Probes/StationDat/011/item#3,,,no,10-15 cm,172.16,166.51,31.23,140.93,135.28,4.18,1.49,6.22,10/10/2010,27,NE35,Vol.
4,Item,http://cosmos.hwr.arizona.edu/Probes/StationDat/011/item#4,,,no,15-20 cm,166.78,162.35,31.03,135.75,131.32,3.37,1.45,4.88,10/10/2010,28,NE35,Vol.
5,Item,http://cosmos.hwr.arizona.edu/Probes/StationDat/011/item#5,,,no,20-25 cm,157.22,153.25,31.06,126.16,122.19,3.25,,4.54,10/10/2010,29,NE35,---
6,Item,http://cosmos.hwr.arizona.edu/Probes/StationDat/011/item#6,,,no,25-30 cm,151.66,148.27,30.91,120.75,117.36,2.89,,4.04,10/10/2010,30,NE35,---
7,Item,http://cosmos.hwr.arizona.edu/Probes/StationDat/011/item#7,,,no,0-5 cm,107.11,106.19,30.91,76.2,75.28,1.22,,1.71,10/10/2010,31,NE80,---
8,Item,http://cosmos.hwr.arizona.edu/Probes/StationDat/011/item#8,,,no,5-10 cm,145,140.99,30.93,114.07,110.06,3.64,,5.09,10/10/2010,32,NE80,---
9,Item,http://cosmos.hwr.arizona.edu/Probes/StationDat/011/item#9,,,no,10-15 cm,167.43,162.36,30.94,136.49,131.42,3.86,1.45,5.58,10/10/2010,33,NE80,Vol.
10,Item,http://cosmos.hwr.arizona.edu/Probes/StationDat/011/item#10,,,no,15-20 cm,157.77,153.59,30.76,127.01,122.83,3.4,,4.76,10/10/2010,34,NE80,---
11,Item,http://cosmos.hwr.arizona.edu/Probes/StationDat/011/item#11,,,no,20-25 cm,131,128.28,30.88,100.12,97.4,2.79,,3.9,10/10/2010,35,NE80,---
12,Item,http://cosmos.hwr.arizona.edu/Probes/StationDat/011/item#12,,,no,25-30 cm,148.17,144.95,30.8,117.37,114.15,2.82,1.26,3.55,10/10/2010,36,NE80,Vol.
13,Item,http://cosmos.hwr.arizona.edu/Probes/StationDat/011/item#13,,,no,0-5 cm,104.5,101.13,32.24,72.26,68.89,4.89,,6.84,10/10/2010,37,NE185,---
14,Item,http://cosmos.hwr.arizona.edu/Probes/StationDat/011/item#14,,,no,5-10 cm,70.33,69.05,31.08,39.25,37.97,3.37,,4.71,10/10/2010,38,NE185,---
15,Item,http://cosmos.hwr.arizona.edu/Probes/StationDat/011/item#15,,,no,10-15 cm,76.24,74.54,31.12,45.12,43.42,3.92,,5.47,10/10/2010,39,NE185,---
16,Item,http://cosmos.hwr.arizona.edu/Probes/StationDat/011/item#16,,,no,15-20 cm,140.45,137.22,30.93,109.52,106.29,3.04,,4.25,10/10/2010,40,NE185,---
17,Item,http://cosmos.hwr.arizona.edu/Probes/StationDat/011/item#17,,,no,20-25 cm,132.72,129.82,31.03,101.69,98.79,2.94,,4.1,10/10/2010,41,NE185,---
